Pagina,LivroID,Ano,obj,ldialog,ilust,ativ,exem,espac,gloss,midia,flux,resum,src
-10,2,,,,,,,,,,,,
-9,145,,,,,,,,,,,,
-9,148,,,,,,,,,,,,
-9,165,,,,,,,,,,,,
-8,45,,,,,,,,,,,,
-8,164,,,,,,,,,,,,
-8,166,,,,,,,,,,,,
-7,207,,,,,,,,,,,,
-7,232,,,,,,,,,,,,
-6,247,,,,,,,,,,,,
-6,250,,,,,,,,,,,,
-6,254,,,,,,,,,,,,
-5,53,,,,,,,,,,,,
-5,138,,,,,,,,,,,,
-4,52,2010,5,1,5,5,1,1,3,1,3,2,1
1,128,2011,1,1,4,1,1,1,2,1,4,1,1
1,146,2010,1,1,5,5,2,1,2,1,5,3,4
1,231,2011,1,1,5,5,1,1,5,1,4,5,1
1,252,2011,1,1,5,5,1,1,5,1,5,5,1
2,264,2010,1,1,4,5,3,1,5,1,1,3,1
2,265,2010,1,1,4,3,1,1,1,1,5,3,5
2,279,2011,5,1,5,3,2,2,3,2,4,1,1
2,288,2011,1,1,5,5,1,1,1,2,2,5,1
3,4,2009,1,1,3,5,3,1,3,1,3,5,1
3,301,2011,5,1,5,5,1,1,3,1,3,1,3
10,50,,,,,,,,,,,,
10,210,,,,,,,,,,,,
11,212,,,,,,,,,,,,
11,257,,,,,,,,,,,,
12,237,,,,,,,,,,,,
12,259,,,,,,,,,,,,
13,221,,,,,,,,,,,,
13,287,,,,,,,,,,,,
14,143,,,,,,,,,,,,
14,312,,,,,,,,,,,,
15,8,,,,,,,,,,,,
15,283,,,,,,,,,,,,
